customer_id,trips,total_revenue,avg_price,first_trip,last_trip,recency_days,tenure_days,trips_per_month
1,6,75.72,12.62,2024-08-29 07:44:00,2025-03-13 17:16:00,48,196,0.7964601769911505
2,7,107.27,15.324285714285713,2024-05-01 06:17:00,2025-04-30 20:09:00,0,364,0.5329949238578681
3,5,51.63,10.326,2024-06-17 06:19:00,2025-02-03 21:03:00,86,231,0.574712643678161
4,5,39.68,7.936,2024-05-19 16:10:00,2024-12-08 03:43:00,143,202,0.646551724137931
5,2,26.61,13.305,2024-05-05 08:51:00,2024-08-07 19:52:00,266,94,0.48387096774193555
6,3,28.88,9.626666666666667,2024-05-28 19:55:00,2025-02-22 01:40:00,67,269,0.3010033444816054
7,1,11.44,11.44,2024-08-13 15:18:00,2024-08-13 15:18:00,260,0,1.0
8,4,59.28,14.82,2024-11-21 06:20:00,2025-04-23 15:18:00,7,153,0.6557377049180328
9,2,6.9,3.45,2024-06-20 11:36:00,2024-10-25 10:06:00,187,126,0.3846153846153846
10,5,75.91,15.181999999999999,2024-07-20 23:01:00,2025-03-23 13:46:00,38,245,0.5454545454545455
11,6,91.46,15.243333333333332,2024-07-24 02:22:00,2025-03-25 01:07:00,36,243,0.6593406593406593
12,6,55.58,9.263333333333334,2024-05-19 14:30:00,2024-10-28 13:34:00,184,161,0.9424083769633509
13,6,60.19,10.031666666666666,2024-05-04 00:20:00,2025-04-28 14:46:00,2,359,0.46272493573264784
14,7,115.63,16.518571428571427,2024-05-19 03:59:00,2025-01-06 17:56:00,114,232,0.8015267175572518
15,4,26.34,6.585,2024-06-03 16:54:00,2024-12-02 06:51:00,149,181,0.5687203791469194
16,4,68.99000000000001,17.247500000000002,2024-05-11 03:26:00,2025-03-28 16:33:00,33,321,0.3418803418803419
17,8,103.32,12.915,2024-06-21 10:20:00,2025-04-13 03:56:00,17,295,0.7384615384615384
18,3,31.33,10.443333333333333,2024-07-09 12:10:00,2024-10-03 09:15:00,209,85,0.7826086956521738
19,6,47.99,7.998333333333334,2024-06-26 03:57:00,2025-04-11 17:34:00,19,289,0.5642633228840126
